OverallQual,TotalBsmtSF,CentralAir,GrLivArea,SalePrice
7,856,Y,1710,208500
6,1262,Y,1262,181500
7,920,Y,1786,223500
7,756,Y,1717,140000
8,1145,Y,2198,250000
5,796,Y,1362,143000
8,1686,Y,1694,307000
7,1107,Y,2090,200000
7,952,Y,1774,129900
5,991,Y,1077,118000
5,1040,Y,1040,129500
9,1175,Y,2324,345000
5,912,Y,912,144000
7,1494,Y,1494,279500
6,1253,Y,1253,157000
7,832,Y,854,132000
6,1004,Y,1004,149000
4,0,Y,1296,90000
5,1114,Y,1114,159000
5,1029,Y,1339,139000
8,1158,Y,2376,325300
7,637,Y,1108,139400
8,1777,Y,1795,230000
5,1040,Y,1060,129900
5,1060,Y,1060,154000
8,1566,Y,1600,256300
5,900,Y,900,134800
8,1704,Y,1704,306000
5,1484,Y,1600,207500
4,520,N,520,68500
4,649,N,1317,40000
5,1228,Y,1228,149350
8,1234,Y,1234,179900
5,1398,Y,1700,165500
9,1561,Y,1561,277500
8,1117,Y,2452,309000
5,1097,Y,1097,145000
5,1297,Y,1297,153000
5,1057,Y,1057,109000
4,0,N,1152,82000
6,1088,Y,1324,160000
5,1350,Y,1328,170000
5,840,Y,884,144000
5,938,Y,938,130250
5,1150,Y,1150,141000
9,1752,Y,1752,319900
7,1434,Y,2149,239686
8,1656,Y,1656,249700
4,736,Y,1452,113000
5,955,Y,955,127000
6,794,Y,1470,177000
6,816,Y,1176,114500
5,816,N,816,110000
9,1842,Y,1842,385000
5,384,Y,1360,130000
6,1425,Y,1425,180500
8,970,Y,1739,172500
7,860,Y,1720,196500
10,1410,Y,2945,438780
5,780,Y,780,124900
6,1158,Y,1158,158000
5,530,N,1111,101000
8,1370,Y,1370,202500
7,576,Y,1710,140000
7,1057,Y,2034,219500
8,1143,Y,2473,317000
7,1947,Y,2207,180000
7,1453,Y,1479,226000
4,747,Y,747,80000
7,1304,Y,2287,225000
7,2223,Y,2223,244000
4,845,Y,845,129500
7,832,Y,1718,185000
5,1086,Y,1086,144900
3,840,N,1605,107400
4,462,Y,988,91000
4,952,Y,952,135750
5,672,Y,1285,127000
4,1768,N,1768,136500
5,440,Y,1230,110000
6,896,Y,2142,193500
6,1237,Y,1337,153500
8,1563,Y,1563,245000
5,1065,Y,1065,126500
7,384,Y,1474,168500
8,1288,Y,2417,260000
6,684,Y,1560,174000
6,612,Y,1224,164500
3,1013,N,1526,85000
4,990,Y,990,123600
4,0,Y,1040,109900
5,1235,Y,1235,98600
5,876,Y,964,163500
6,1214,N,2291,133900
6,824,Y,1786,204750
6,680,Y,1470,185000
7,1588,Y,1588,214000
4,960,Y,960,94750
5,458,N,835,83000
4,950,Y,1225,128950
6,1610,Y,1610,205000
6,741,Y,1732,178000
5,0,Y,1535,118964
7,1226,Y,1226,198900
7,1040,Y,1818,169500
8,1053,Y,1992,250000
4,641,Y,1047,100000
5,789,Y,789,115000
5,793,N,1517,115000
6,1844,Y,1844,190000
6,994,Y,1855,136900
7,384,Y,1430,180000
7,1264,Y,2696,383970
6,1809,Y,2259,217000
6,1028,Y,2320,259500
6,729,Y,1458,176000
5,1092,Y,1092,139000
5,1125,Y,1125,155000
7,1673,Y,3222,320000
6,728,Y,1456,163990
6,938,Y,988,180000
4,732,Y,1123,100000
6,1080,Y,1080,136000
6,1199,Y,1199,153900
6,1362,Y,1586,181000
6,520,N,754,84500
6,1078,Y,958,128000
5,672,Y,840,87000
6,660,Y,1348,155000
5,1008,Y,1053,150000
7,924,Y,2157,226000
6,992,Y,2054,244000
5,1063,Y,1327,150750
8,1267,Y,1296,220000
5,1461,Y,1721,180000
7,1304,Y,1682,174000
5,1214,Y,1214,143000
7,1907,Y,1959,171000
8,1004,Y,1852,230000
6,928,Y,1764,231500
4,864,Y,864,115000
7,1734,Y,1734,260000
5,910,Y,1385,166000
7,1490,Y,1501,204000
5,1728,Y,1728,125000
6,970,Y,1709,130000
5,715,Y,875,105000
7,884,Y,2035,222500
7,1080,Y,1080,141000
5,896,Y,1344,115000
5,969,Y,969,122000
8,1710,Y,1710,372402
6,825,Y,1993,190000
6,1602,Y,1252,235000
6,1200,Y,1200,125000
6,572,N,1096,79000
5,0,Y,1040,109500
8,774,Y,1968,269500
7,991,Y,1947,254900
7,1392,Y,2462,320000
6,1232,Y,1232,162500
9,1572,Y,2668,412500
7,1541,Y,1541,220000
4,882,Y,882,103200
6,1149,Y,1616,152000
5,644,Y,1355,127500
5,1617,Y,1867,190000
8,1582,Y,2161,325624
7,840,Y,1720,183500
8,1686,Y,1707,228000
5,720,Y,1382,128500
6,1080,Y,1656,215000
7,1064,Y,1767,239000
6,1362,Y,1362,163000
6,1606,Y,1651,184000
6,1202,Y,2158,243000
6,1151,Y,2060,211000
5,1052,Y,1920,172500
9,2216,Y,2234,501837
5,968,Y,968,100000
6,756,Y,1525,177000
7,793,Y,1802,200100
5,0,Y,1340,120000
7,1362,Y,2082,200000
5,504,Y,1252,127000
